,Unnamed: 0,Unnamed: 0.1,wine_id,name,vintage,wine_type,grape_simple,rating_num,kprice,imgurl
1768,1768,1768,1768,Vertigo,2019,Red wine,Blend,92 ratings,"24,351",//images.vivino.com/thumbs/-2Jfhw8mSYuaQ98MfO7Fmw_pb_x600.png
1769,1769,1769,1769,Chardonnay,2019,White wine,Chardonnay,93 ratings,"39,457",//images.vivino.com/thumbs/_OyURm6tS0Ow87mMZ-JKnQ_pb_x600.png
1770,1770,1770,1770,Pinot Noir,2018,Red wine,Pinot Noir,95 ratings,"45,094",//images.vivino.com/thumbs/gSMzZoSDQAa9PmS60MJZhQ_150x200.jpg
1771,1771,1771,1771,McLean Creek Vineyard Micro Cuve_ Pinot Noir,2018,Red wine,Pinot Noir,27 ratings,"90,188",//images.vivino.com/thumbs/JVDmIwSyQWmztnHo4RYaPw_pb_x600.png
1772,1772,1772,1772,La Gibryotte Gevrey-Chambertin,2019,Red wine,Pinot Noir,27 ratings,"96,952",//images.vivino.com/thumbs/pG83MQHHQwajiFMxj0GkQw_pb_x600.png
1773,1773,1773,1773,Vieilles Vignes Chambolle-Musigny,2019,Red wine,Pinot Noir,27 ratings,"97,362",//images.vivino.com/thumbs/Shc5Bo3DQR-MIbSgx5b3gA_pb_x600.png
1774,1774,1774,1774,Quinta Da Costa Das Aguaneiras,2016,Red wine,Blend,176 ratings,"52,083",//images.vivino.com/thumbs/FTZi2VUYQGylgguPuZ9shA_pb_x600.png
1775,1775,1775,1775,Terrasse,2019,White wine,Blend,141 ratings,"39,457",//images.vivino.com/thumbs/AyUiO5BQSf2dOiki88DHlg_pb_x600.png
1776,1776,1776,1776,Cinque Querce Aglianico Irpinia,2017,Red wine,Aglianico,143 ratings,"36,075",//images.vivino.com/thumbs/ijETVafCR5ymZhzDcJmwQQ_pb_x600.png
1777,1777,1777,1777,Rabia Petit Verdot,2018,Red wine,Petit Verdot,146 ratings,"35,450",//images.vivino.com/thumbs/-fIHam_FTeWPYfsmskaGOA_pb_x600.png
1778,1778,1778,1778,Classic Riesling,2020,White wine,Riesling,150 ratings,"31,771",//images.vivino.com/thumbs/ox8RiFoARe-7WByQ9qpTFQ_pb_x600.png
1779,1779,1779,1779,Estate Grown Syrah,2013,Red wine,Shiraz/Syrah,153 ratings,"84,551",//images.vivino.com/thumbs/Jzwe8zi7RBqb4uVB4CxLuw_pb_x600.png
1780,1780,1780,1780,Crianza,2018,Red wine,Tempranillo,155 ratings,"29,311",//images.vivino.com/thumbs/Ix70YARkTICmHjaIlH8TDA_pb_x600.png
1781,1781,1781,1781,Montefico Barbaresco,2016,Red wine,Nebbiolo,160 ratings,"99,207",//images.vivino.com/thumbs/3mVTd7UVSBSuMn9WogA4wQ_pb_x600.png
1782,1782,1782,1782,Haut-Me_oc,2018,Red wine,Merlot,163 ratings,"41,958",//images.vivino.com/thumbs/dnQ7U-90T7q0hlQxHpdOYw_pb_x600.png
1783,1783,1783,1783,Cabernet Sauvignon - Cabernet Franc,2019,Red wine,Blend,162 ratings,"56,367",//images.vivino.com/thumbs/1R6oaz3wTEaiZxrtbIso6g_pb_x600.png
